term,level,category,parent_h1
天,2,天文类,
日,2,天文类,
初日,2,天文类,
日影,2,天文类,
斜阳,1,天文类,
春日,1,天文类,
夏日,1,天文类,
秋日,1,天文类,
冬日,1,天文类,
日蚀,1,天文类,
曝日,1,天文类,
月,1,天文类,
新月,1,天文类,
残月,1,天文类,
月影,1,天文类,
月桂,1,天文类,
待月,1,天文类,
赏日,1,天文类,
步月,1,天文类,
中庭,1,天文类,
皓彩,1,天文类,
中秋月,1,天文类,
秋光,1,天文类,
金饼,1,天文类,
如昼,1,天文类,
不见,1,天文类,
月,1,天文类,
十四夜月,1,天文类,
十六夜月,1,天文类,
月蚀,1,天文类,
星,1,天文类,
老人星,2,天文类,星
北斗,2,天文类,星
残星,2,天文类,星
河汉,2,天文类,星
云,2,天文类,星
庆云,2,天文类,星
祥云,2,天文类,星
旱,2,天文类,星
云,1,天文类,
云峰,2,天文类,云
霞,2,天文类,云
虹,2,天文类,云
风,1,天文类,
春风,2,天文类,风
夏风,2,天文类,风
秋风,2,天文类,风
冬风,2,天文类,风
狂风,2,天文类,风
松风,2,天文类,风
竹风,2,天文类,风
雨,1,天文类,
久雨,2,天文类,雨
骤雨,1,天文类,
夜雨,1,天文类,
梅雨,1,天文类,
祈雨,1,天文类,
喜雨,1,天文类,
客中雨,1,天文类,
春雨,1,天文类,
夏雨,1,天文类,
秋雨,1,天文类,
冬雨,1,天文类,
雪晴,1,天文类,
雪意,1,天文类,
喜雪,1,天文类,
甘露,1,天文类,
雾,1,天文类,
烟,1,天文类,
雷,1,天文类,
雹,1,天文类,
电,1,天文类,
春,2,时令类,
春晴,2,时令类,
秋晴,2,时令类,
祈晴,2,时令类,
旱,2,时令类,
早春,1,时令类,
春寒,1,时令类,
春阴,1,时令类,
春色,1,时令类,
春暮,1,时令类,
春归,1,时令类,
春晓,1,时令类,
春昼,1,时令类,
春夜,1,时令类,
探春,1,时令类,
游春,1,时令类,
送春,1,时令类,
春日书怀,1,时令类,
夏,1,时令类,
初夏,1,时令类,
残夏,1,时令类,
夏夜,1,时令类,
苦热,2,时令类,夏夜
夏,1,时令类,
夏日途中,1,时令类,
夏晓,1,时令类,
昼寝,1,时令类,
秋,2,时令类,昼寝
新秋,2,时令类,昼寝
秋凉,2,时令类,昼寝
秋色,1,时令类,
秋声,1,时令类,
秋兴,1,时令类,
秋阴,1,时令类,
秋暮,1,时令类,
秋夜,1,时令类,
悲秋,1,时令类,
秋日书怀,1,时令类,
秋日即,1,时令类,
秋晚,1,时令类,
冬,1,时令类,
初冬,2,时令类,冬
暮冬,2,时令类,冬
冬夜,2,时令类,冬
苦寒,2,时令类,冬
冬日即事,2,时令类,冬
冬日书怀,2,时令类,冬
丰年,2,时令类,冬
凶年,2,时令类,冬
立春,2,节序类,
除日立春,1,节序类,
元旦立春,1,节序类,
元日,1,节序类,
人日,1,节序类,
上元,1,节序类,
上元遇雨,1,节序类,
上元遇雪,2,节序类,上元遇雨
社日,1,节序类,
上巳,1,节序类,
寒食,2,节序类,上巳
旅中寒食,2,节序类,上巳
寒食雨,1,节序类,
清明,1,节序类,
立夏,1,节序类,
端午,1,节序类,
伏,1,节序类,
立秋,1,节序类,
七夕,1,节序类,
七夕遇,1,节序类,
雨,1,节序类,
中元,1,节序类,
中秋,1,节序类,
重九,1,节序类,
九日,1,节序类,
遇雨,1,节序类,
九日旅中,1,节序类,
立冬,1,节序类,
腊,1,节序类,
除夜,1,节序类,
守岁,1,节序类,
地,2,地舆类,
山,2,地舆类,
远山,1,地舆类,
孤峰,1,地舆类,
假山,1,地舆类,
春山,1,地舆类,
秋山,1,地舆类,
泰山,1,地舆类,
衡山,1,地舆类,
华山,1,地舆类,
嵩山,1,地舆类,
恒山,1,地舆类,
武夷山,1,地舆类,
庐山,1,地舆类,
天台山,1,地舆类,
罗,1,地舆类,
浮山,1,地舆类,
游山,1,地舆类,
水,1,地舆类,
远水,1,地舆类,
流水,1,地舆类,
水声,1,地舆类,
水帘,1,地舆类,
春水,1,地舆类,
秋水,1,地舆类,
观涨,1,地舆类,
江,1,地舆类,
河,1,地舆类,
海,1,地舆类,
潮,1,地舆类,
江湖,1,地舆类,
溪,2,地舆类,江湖
梅溪,2,地舆类,江湖
竹溪,2,地舆类,江湖
桃溪,2,地舆类,江湖
涧,2,地舆类,江湖
浦,1,地舆类,
渔矶,1,地舆类,
泉,1,地舆类,
醴泉,1,地舆类,
温泉,1,地舆类,
竹里泉,1,地舆类,
瀑布泉,1,地舆类,
泉声,1,地舆类,
渡,1,地舆类,
井,1,地舆类,
池,1,地舆类,
盆池,1,地舆类,
莲塘,1,地舆类,
陂塘,1,地舆类,
山水,1,地舆类,
岛屿,1,地舆类,
石洞,1,地舆类,
石,1,地舆类,
沙,1,地舆类,
尘,1,地舆类,
春郊,1,地舆类,
秋郊,1,地舆类,
园,1,地舆类,
果园,1,地舆类,
蔬园,1,地舆类,
药园,1,地舆类,
春径,1,地舆类,
秋径,1,地舆类,
松径,1,地舆类,
竹径,1,地舆类,
藓径,1,地舆类,
樵径,1,地舆类,
道路,2,地舆类,
候,2,地舆类,
渡口,2,地舆类,
桥,2,地舆类,
石桥,2,地舆类,
边塞,2,地舆类,
关隘,1,地舆类,
市井,1,地舆类,
乡里,1,地舆类,
野,1,地舆类,
烧,1,地舆类,
城,2,宫室类,
江城,2,宫室类,
山城,2,宫室类,
宫阙,2,宫室类,
故宫,2,宫室类,
殿,1,宫室类,
水阁,1,宫室类,
山,1,宫室类,
阁,1,宫室类,
楼,1,宫室类,
江楼,1,宫室类,
酒楼,1,宫室类,
楼,1,宫室类,
亭,1,宫室类,
水亭,1,宫室类,
山亭,1,宫室类,
江亭,1,宫室类,
林亭,1,宫室类,
园亭,1,宫室类,
竹亭,1,宫室类,
客亭,1,宫室类,
台,1,宫室类,
琴台,1,宫室类,
月台,1,宫室类,
钓台,1,宫室类,
书斋,1,宫室类,
书牕,1,宫室类,
茅斋,1,宫室类,
松轩,1,宫室类,
竹轩,1,宫室类,
第宅,1,宫室类,
废宅,1,宫室类,
官,1,宫室类,
廨,1,宫室类,
馆驿,1,宫室类,
旅舍,1,宫室类,
闲居,1,宫室类,
山居,1,宫室类,
郊居,1,宫室类,
村居,1,宫室类,
溪居,1,宫室类,
贫居,1,宫室类,
迁居,1,宫室类,
方丈,2,宫室类,迁居
塔,2,宫室类,迁居
禅庵,2,宫室类,迁居
观,2,宫室类,迁居
圣寿,2,君道类,
寿皇太子,2,君道类,
诏令,1,君道类,
赦,1,君道类,
爵禄,1,君道类,
贵功,1,君道类,
敬贤,1,君道类,
忠义,2,臣道类,
谏诤,2,臣道类,
刚正,2,百官类,
循吏,2,百官类,
廉吏,2,百官类,
能吏,2,百官类,
宰相,2,百官类,
吏部尚书,2,百官类,
侍郎,2,百官类,
文选司,2,百官类,
騐封,2,百官类,
稽勲,1,百官类,
考功司,1,百官类,
户部尚书,1,百官类,
侍郎,2,百官类,户部尚书
清吏司,1,百官类,
礼部尚书,1,百官类,
侍郎,2,百官类,礼部尚书
员外郎,1,百官类,
兵部尚书,1,百官类,
郎中,2,百官类,兵部尚书
郎中员外郎,2,百官类,兵部尚书
刑部尚书,1,百官类,
侍郎,2,百官类,刑部尚书
刑司,1,百官类,
属,1,百官类,
工部尚书,1,百官类,
侍郎,2,百官类,工部尚书
工司属,1,百官类,
六部尚书,1,百官类,
郎官,1,百官类,
东宫属官,1,百官类,
翰林,1,百官类,
御史,1,百官类,
宗人府,1,百官类,
通政司,1,百官类,
大理寺,1,百官类,
太常寺,1,百官类,
府尹,1,百官类,
太仆寺,1,百官类,
鸿胪寺,1,百官类,
行人司,1,百官类,
国子监,1,百官类,
侍卫,1,百官类,
将帅,1,百官类,
九门提督,1,百官类,
巡城,1,百官类,
六科给事中,1,百官类,
中书舍人,1,百官类,
光禄寺,1,百官类,
钦天监,1,百官类,
太医院,1,百官类,
督抚,1,百官类,
布政司,1,百官类,
按察司,1,百官类,
盐运司,1,百官类,
总漕,1,百官类,
粮道,1,百官类,
学院,1,百官类,
刺史,1,百官类,
太守,1,百官类,
府佐,2,仕进类,
县令,2,仕进类,
县佐,2,仕进类,
